Gene stable ID	HGNC symbol	Gene name
ENSG00000210049	MT-TF	NA
ENSG00000211459	MT-RNR1	NA
ENSG00000210077	MT-TV	NA
ENSG00000210082	MT-RNR2	NA
ENSG00000209082	MT-TL1	NA
ENSG00000198888	MT-ND1	NADH dehydrogenase subunit 1
ENSG00000210100	MT-TI	NA
ENSG00000210107	MT-TQ	NA
ENSG00000210112	MT-TM	NA
ENSG00000198763	MT-ND2	NADH dehydrogenase subunit 2
ENSG00000210117	MT-TW	NA
ENSG00000210127	MT-TA	NA
ENSG00000210135	MT-TN	NA
ENSG00000210140	MT-TC	NA
ENSG00000210144	MT-TY	NA
ENSG00000198804	MT-CO1	cytochrome c oxidase subunit I
ENSG00000210151	MT-TS1	microRNA 12136
ENSG00000210154	MT-TD	NA
ENSG00000198712	MT-CO2	cytochrome c oxidase subunit II
ENSG00000210156	MT-TK	NA
ENSG00000228253	MT-ATP8	ATP synthase F0 subunit 8
ENSG00000198899	MT-ATP6	ATP synthase F0 subunit 6
ENSG00000198938	MT-CO3	cytochrome c oxidase subunit III
ENSG00000210164	MT-TG	NA
ENSG00000198840	MT-ND3	NADH dehydrogenase subunit 3
ENSG00000210174	MT-TR	NA
ENSG00000212907	MT-ND4L	NADH dehydrogenase subunit 4L
ENSG00000198886	MT-ND4	NADH dehydrogenase subunit 4
ENSG00000210176	MT-TH	NA
ENSG00000210184	MT-TS2	NA
ENSG00000210191	MT-TL2	NA
ENSG00000198786	MT-ND5	NADH dehydrogenase subunit 5
ENSG00000198695	MT-ND6	NADH dehydrogenase subunit 6
ENSG00000210194	MT-TE	NA
ENSG00000198727	MT-CYB	cytochrome b
ENSG00000210195	MT-TT	NA
ENSG00000210196	MT-TP	NA
ENSG00000278457	NA	NA
ENSG00000280538	NA	NA
ENSG00000278704	NA	NA
ENSG00000271254	NA	neuroblastoma breakpoint family member 1
ENSG00000275151	NA	NA
ENSG00000278294	NA	NA
ENSG00000281806	NA	NA
ENSG00000279969	NA	NA
ENSG00000274882	LINC02109	NA
ENSG00000281362	NA	long intergenic non-protein coding RNA 1115
ENSG00000280663	PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
ENSG00000277995	NA	NA
ENSG00000277044	OPRL1	opioid related nociceptin receptor 1
ENSG00000277339	NPBWR2	neuropeptides B and W receptor 2
ENSG00000280695	NA	NA
ENSG00000276876	MYT1	myelin transcription factor 1
ENSG00000274324	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
ENSG00000274130	NA	NA
ENSG00000278731	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2
ENSG00000277620	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000274826	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2
ENSG00000262826	INTS3	integrator complex subunit 3
ENSG00000277355	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000275699	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000273755	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2
ENSG00000275407	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2
ENSG00000276379	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000277616	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ENSG00000275751	KIR3DP1	NA
ENSG00000278805	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ENSG00000275442	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2
ENSG00000277345	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
ENSG00000276459	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
ENSG00000277484	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
ENSG00000276858	FCAR	Fc fragment of IgA receptor
ENSG00000276424	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000274861	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2
ENSG00000278248	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ENSG00000274339	LILRP1	NA
ENSG00000280579	NA	NA
ENSG00000276501	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000273775	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000276970	NA	NA
ENSG00000275018	NA	NA
ENSG00000280708	NA	NA
ENSG00000277272	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000281416	NA	NA
ENSG00000275974	PPIAL4F	peptidylprolyl isomerase A like 4F
ENSG00000277070	LILRP1	NA
ENSG00000276676	KIR2DS5	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5
ENSG00000280460	NA	NA
ENSG00000274574	NA	NA
ENSG00000273990	RNVU1-26	NA
ENSG00000277376	KIR2DP1	NA
ENSG00000273757	RNVU1-2A	RNA, variant U1 small nuclear 2A
ENSG00000276258	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2
ENSG00000275946	KIR2DL5B	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B
ENSG00000274189	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000273735	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000276820	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ENSG00000276433	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000278306	KIR2DS3	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3
ENSG00000276357	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
ENSG00000275732	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000275717	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000274696	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000274807	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
ENSG00000275112	LILRP1	NA
ENSG00000277742	KIR3DP1	NA
ENSG00000274518	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2
ENSG00000278360	NA	NA
ENSG00000275938	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
ENSG00000281935	DNAH10	dynein axonemal heavy chain 10
ENSG00000276139	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2
ENSG00000276013	NA	NA
ENSG00000273575	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000274120	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2
ENSG00000277317	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
ENSG00000274945	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000276974	NA	NA
ENSG00000278325	LILRP1	NA
ENSG00000277176	KIR3DP1	NA
ENSG00000276425	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2
ENSG00000276930	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000275421	KIR2DS1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1
ENSG00000274146	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000276329	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000277630	NA	POTE ankyrin domain family member D-like
ENSG00000275172	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000276518	KIR3DP1	NA
ENSG00000278152	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2
ENSG00000274782	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ENSG00000274714	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
ENSG00000273947	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
ENSG00000275422	NA	NA
ENSG00000276885	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
ENSG00000274851	KIR2DP1	NA
ENSG00000277334	NCR1	natural cytotoxicity triggering receptor 1
ENSG00000276779	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000275914	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2
ENSG00000273688	KIR3DP1	NA
ENSG00000277570	LILRP1	NA
ENSG00000275786	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000276306	NA	NA
ENSG00000274955	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000277193	KIR2DS3	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3
ENSG00000277185	NA	NA
ENSG00000275288	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ENSG00000276392	KIR2DL5A	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A
ENSG00000278793	NA	NA
ENSG00000275237	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000276247	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2
